"'inavayan mapiya. kemiyarakaz ta lra.","Hello everyone. Here we go.","大家好。我們開始了。"
"'alra zi karahan! sungal!"," Please stand up! Salute!","請起立! 敬禮!"
"sinsi 'inavayan."," Hello.","老師好。"
"'alra zi kayan!"," Please sit down.","請坐下。"
"'inavayan mapiya. harem kana wari panadam na sinsi za kemudakuda ta temarapinuyumayan kana aekanan.","Hello everyone. Today I am going to teach you how to say \\\puyuma\\\"" (food).""","大家好。今天老師要教大家食物的卑南語怎麼說。"
"malrazam u za aeman kema na sinsi?"," Do you understand what the teacher says?","你聽得懂老師的話嗎?"
"'azi ku kinger, karuwa u kema'izang merengay?"," I can’t hear you, can you speak louder?","我聽不到，你可以大聲一點嗎?"
"'alra zi na'u i kani! kurelrang kaninku mip za parasan.","Look here, please! Repeat after me.","請看這裡!跟著我唸一遍。"
"'alra zi na'u i kani! kurelrang kaninku miyup za parasan.","Look here, please! Repeat after me.","請看這裡! 跟著我唸一遍。"
"'inava nu inipan.","You read it very well.","你唸得很好。"
"'inava nu iniyupan.","You read it very well.","你唸得很好。"
"ip ziya masalr. zi ka'izangu nu lrengaw za saema.","Read it again. And a little louder.","再唸一次。且大聲一點。"
"iyup ziya masalr. zi ka'izangu nu lrengaw za saema.","Read it again. And a little louder.","再唸一次。且大聲一點。"
"karapengan! amanan mazayazayar!","Please be quiet. Don’t talk to each other.","請安靜!不要交談!"
"'alra zi pupanayu na valray."," Please take out your textbook.","請把課本拿出來。"
"ai, sinsi."," Yes, sir.","是的，老師。"
"'alra zi pupanayu na impis."," Please take out your pen.","請把筆拿出來。"
"sinsi, malalup ku murung za impis."," I forgot to bring my pen.","老師，我忘了帶筆。"
"'alra zi pupanayu na aitrul."," Please take out the eraser.","請把橡皮擦拿出來。"
"sinsi, malalup ku murung za aitrul."," I forgot to bring my eraser.","老師，我忘了帶橡皮擦。"
"kivulas tu aitrul kananu lralrang i trapingiran."," Please borrow erasers from your classmates.","請跟旁邊同學借橡皮擦。"
"pavulasay ku zanu aitrul maw?"," Can I borrow your eraser?","借我橡皮擦好嗎?"
"temalaulepa ta lra.","Class is over.","我們下課了。"
"ta palruwanay nanta takakesiyan i kani, marepana'uwa ta ziya nu masalr kana liyusan.","Class dismissed, see you next week.","我們就上到這邊，下週再見。"
"i eman u?"," Who are you?","你是誰?"
"i Atrung ku.","","我是Atrung。"
"i Atrung ku ngadan, tu alrak ku ni Siyang."," My name is Atrung and I am Siyang's son.","我叫Atrung，我是Siyang的兒子。"
"i eman u?"," Who are you?","你是誰?"
"i Sunay ku ngadan, tu temakesi ku ni Siyang."," My name is Sunay and I am a student in Siyang.","我叫Sunay，我是Siyang的學生。"
"i eman nu ngadan?"," What is your name?","你是什麼名字?"
"i Atrung ku ngadan.","My name is Atrung.","我的名字是Atrung。"
"i eman tu ngadan ni temama?"," What's your father's name?","你爸爸的名字是什麼?"
"i Masaw tu ngadan ni amalri."," My dad's name is Masaw.","我爸爸的名字是Masaw。"
"i eman i intaw?"," Who is he?","他是誰?"
"i Kulas i intaw."," He's Kulas.","他是Kulas。"
"i Kulas tu ngadan, i ivalri intaw."," His name is Kulas and he is my brother.","他叫Kulas，他是我的哥哥。"
"i eman tu ngadan?"," What's his name?","他的名字是什麼?"
"i Kulas tu ngadan."," His name is Kulas.","他的名字是Kulas。"
"i Masaw tu ngadan?"," Was his name Masaw?","他的名字是Masaw嗎?"
"i Masaw tu ngadan?"," Was his name Masaw?","他的名字是Masaw嗎?"
"amelri, i Kulas tu ngadan.","No, his name is Kulas.","不是，他的名字是Kulas。"
"i eman iziyu na trau?"," Who is that guy?","那個人是誰?"
"i Sunay intaw. i inani Sunay."," She's Sunay. she's my aunt Sunay.","她是Sunay。她是我的阿姨Sunay。"
"i eman iziyu na trau?"," Who is that guy?","那個人是誰?"
"i ngizalri intaw, i Senayan tu ngadan.","She's my friend, her name is Senayan.","她是我的朋友，她的名字是Senayan。"
"muketrep ku 'ami harem."," I am 10 years old.","我今年10歲。"
"pidaya tu 'ami harem intaw?"," How old is he?","他今年幾歲?"
"muketrep misama' za zuwaya tu 'ami harem intaw."," He is 12 years old.","他今年12歲。"
"pidaya tu 'ami ni temama harem?"," How old is your father?","你爸爸今年幾歲?"
"makalruwatr tu 'ami ni amalri harem."," My father is 50 years old.","我爸爸今年50歲。"
"papida nu maruwadiyadi?"," How many brothers and sisters do you have?","你有幾個兄弟姊妹?"
"ulra i ivalri na ma'inayan a zazuwa zi i wadilri na vavayan a sasa."," I have two brothers and one sister.","我有兩個哥哥，一個妹妹。"
"ulra nu iva a ma'inayan?"," Do you have a brother?","你有哥哥嗎?"
"iniyan ku za iva a ma'inayan."," I don't have a brother.","我沒有哥哥。"
"uniyan ku za iva a ma'inayan."," I don't have a brother.","我沒有哥哥。"
"aapat mi saruma'enan."," There are four of us in our family.","我們家有4個人。"
"temakesi ku i Valangaw."," I studied in [Taitung].","我在台東讀書。"
"i eman i intaw?"," Who is he?","他是誰?"
"a eman tu kiyakarunan ni temama na marama'izang kani taina?"," What does your uncle do for a living?","你的舅舅從事什麼工作?"
"a kinsas intaw."," He’s a cop.","他是警察。"
"i eman iziyu na trau?"," Who is that guy?","那個人是誰?"
"i ivalri na vavayan intaw."," She’s my sister.","她是我的姊姊。"
"ulra tu kiyakarunan ni vau na vavayan?"," Does your sister have a job?","你的姊姊有工作嗎?"
"kiyakarun i biyoing intaw."," She works in a hospital.","她在醫院上班。"
