"a Pinuyumayan mu, ulra muketrep tu zekalr, karuwa sakuzaw zi lruwatakuzulr tu pinitrauwan. nu mulauz mu, meredek i Papulu.","卑南族共有十個部落，人口大約一萬五千人，往東到達寶桑。"
"nu muzaya mu, maw na Dandanaw, na Ulivelivek, na 'Alripay, na Tamalrakaw zi na Likavung.","往西是龍過脈、初鹿、阿里擺及利嘉部落。"
"nu mukezet mu, ulra na Katratripulr zi na Kasavakan.","往南為知本及建和部落。"
"nu mu'ami mu, palru i Pinaski zi i Puyuma. kaazu mi kani Valangaw kana zenan i makalusu kana trekipan.","往北則到達南王及下賓朗部落。我們就居住在台東山丘下的緩坡平原。"
"maridalredalrep naniyam zekazekalr, salaw mi kalre'ayan muzangizangi.","部落之間相距不遠，非常便於互相探訪。"
"kana zuwaya 'ami parasan, marevulavulas mi mitrepa za wakasayan semasaharan.","每兩年一次，我們會輪流負責舉辦聯合年祭。"
"na mitrepa demikes na zekalr mu, paadang za marekamelrimelri za semasaharan. muwarak ma'ari'ari, marepakuwakuwa melima za tuwa'etu'an temutrawtrau, temikelru, kanini na wari muparazuk na zazekazekalr ziya i waazukan.","負責舉辦的部落，準備各式各樣的歡樂項目如傳統舞蹈競賽、人物雕刻競賽、盪鞦韆等，在當日各部落族人聚集在會場。"
"piya lra marengay na ayawanan zi na lavang, mengadir kiyanun lra pakelrazam kana temaramaw na ma'iza'izangan na rahan mu, mungesalr lra semasaharan.","在頭目及外賓致詞之後，祭司會向祖靈祝禱才開始進行歡樂。"
"iniyam na Pinuyumayan tu palisiyan mu, ulra a mangayaw mutralun ulra na venasivas, zi venarasa' karawakan katupaidiyan kiyalutung temariya'udalr.","卑南族人的祭典有大獵祭、猴祭、小米收穫祭及祈雨祭等。"
"nu kapalisiyan i revuva'an, mukasakasa muwazuk i revuwa'an semungal kana demaway zi kana temuwamuwan.","若是發祥地的祭祖，則一同聚集在發祥地向上蒼及祖靈致敬祝禱。"
"meredek kana kapalisiyan na wari mu mukasakasa ta i palakuwan marepuwalraalrang padang za eman ziya, salrangan ta kana zinekalranan kiyatrevung kana 'amiyan.","舉行祭典的日子族人會一起在巴拉冠相互幫忙準備各項事宜，一起迎接新的一年。"
"na Piniyumayan salaw misa'ur murekes tu piniangeran, penazangal za sa'ur.","卑南族人非常重視團結合作。"
"kani Taiwan na Yuancumin mu, ulra muketrep misama' za nanema tu mauwan. na marakazuwazuwan tu pinitrauwan mu maw na Amis.","台灣的原住民族有十六族，人口最多的是阿美族。"
"na marakaytayitayan tu pinitrauwan mu maw na Saw. na Pinuyumayan mu, karuwa za sakuzaw zi lurwatrakuzulr tu pinitrauwan.","人口最少的是邵族。卑南族的人口約有一萬五千人。"
"salaw vulay zi 'inava tu kinazuwan kana Pinuyumayan, mulepulepun kani Taiwan makalauz, piyakezet i Valangaw na sizumayan zi kani Puyuma paliyuliyus na zekalr.","卑南族分布於台灣的東南方，是個景色優美、背山面海、純樸寧靜的好地方。"
"na Pinuyumayan mu muketrep tu zekalr, nu mulauz mu, meredek i Papulu.","卑南族有十個部落，若往東去，可以到達寶桑部落。"
"nu muzaya mu, maw na Dandanaw, na Ulivelivek, na 'Alripay, na Tamalrakaw zi na Likavung.","若往西去，就是龍過脈、初鹿、阿里擺、泰安及利嘉部落。"
"nu mukezet mu, maw na Katratripulr zi na Kasavakan. nu mu'ami mu, palru i Pinaseki zi i Puyuma.","往南邊是知本和建和，往北到達下賓朗和南王部落。"
"kaazu kani Valangaw kana zenan i makalusu kana trekipan. maredalredalrep tu zekazekalr, salaw kalre'ayan muzangizangi.","各部落都分居在台東平原周圍的山腳下，部落與部落之間因相距不遠交通便利，互相交往也很方便。"
"nu zuwaya 'ami parasan, marevulavulas mitrepa za uwakasayan semasaharan. na mitrepa demikes mu, padang za marekamelrimelri za kasaharan.","卑南族每兩年舉辦一次聯合年祭，每一個部落都要輪流承辦，承辦部落要準備聯合年祭的各項活動。"
"kanizu na wari, muparazuk na zazekazekalr ziya i waazukan. piya lra pakalrazam kana temuwamuwan na rahan na temaramaw mu, mungsalr pureha lra kana semasaharan kahuwahuwan.","活動當天，所有參加活動的族人聚集在承辦部落的集會所。由巫師及祭司敬告祖靈之後才開始正式展開各項活動。"
"harem lra mu kazuwan na mukuwa i sizumayan i tokay kikaruna muvalesa, na mauwan na muvilin zi kaazu i zekalr mu, maresazu na dawdawan zi na lralrakan.","因為工作關係，大部分的年輕女及壯年人都到城市發展，以改善生活品質，故留在部落的就是老年人及孩子們。"
"na Pinuyumayan mu, 'azi kazuwan tu pinitrauwan. maw mu salaw mukepel misa'ur, maruwa tremungulr pulrepus tu kakuwayanan na vulay sayhu kemiyanger.","卑南族人口雖不多，但卻很團結。卑南族有這麼優良的傳統文化，身為卑南族人，要好好珍惜，並擔任起傳承的責任。"
"naniyam ngai kazu lra pakangawayan a pida kuzulr 'ami, iniyan ta lra za kuwarelrangan wasay, ulra a papida mi tinakesiyan za ngai tu pasarazanay naniyam ngai i punapunan “piningayiyan za lratar i kezet”,","我們的語言已經存在了數千年，起源已無從考證、一些語言學者將我們的語言歸類為南島語言，"
"kani harem i punapunan sasaya tu kinurelrangan makakanatanatal zi na lratar na piningayiyan,","是現今世界上唯一分布在海洋島嶼國家的語言，"
"nantu niravak zi niravakan i kalawas za pinidare'an parekazuwa kana mulemuled na dare', zi i Taiwan mu nintaw rami za piningayiyan kani makakezekezet.","其分布的範圍超過地球圓周的一半，而台灣則是南島語言的源頭。"
"na Pinuyumayan ara maw a saya 'alrayan, maw mu na zekalr ki'ami maw i Ulivelivek, mulauz mu Puyuma, i zaya i Kasavakan zi i kezet mu i Katratripulr,","卑南族雖然說一個族群、但因各個部落的分布為北邊的初鹿、往東是南王、西邊是建和、南邊則是知本，"
"ngai za palrivak na 'alrayan, iniyan za tinililran na valray, initurus kana vinavatiyan za ma'a'izangan mutrungutrungulr saya traliyan,","原住民的語言語，原先沒有文字記載，完全依靠耆老的口述一代一代的傳承，"
"nilrutrelrutr manueman a are'etran za vulan zi za 'ami, karepapuwan matengetengez i punapunan semalaw na Dipung demikes i Taiwan mu,","經過許多歲月的磨難，二次世界大戰日本佔領台灣時，"
